	Particle centroid in image (mm)			Lengths (mm)											
Particle #	X	Y 	Z	principal_x	principal_y	principal_z	principal_l1	principal_l2	principal_l3	principal_m1	principal_m2	principal_m3	principal_n1	principal_n2	principal_n3
1	524.69	309.67	76.77	141.34	128.87	88.01	0.21	0.01	0.98	0.92	-0.35	-0.19	0.34	0.94	-0.08
2	222.83	514.51	68.7	259.59	187.36	119.22	0.91	0.4	-0.12	-0.41	0.91	-0.06	0.08	0.1	0.99
3	375.39	95.63	58.29	130.17	98.69	53.76	0.46	0.68	-0.58	0.87	-0.48	0.13	0.19	0.56	0.81
4	194.04	227.97	59.34	107.29	71.4	58.36	0.8	0.53	-0.27	0.17	0.24	0.96	-0.58	0.81	-0.1
5	363.52	347.84	55.87	78.52	76.51	52.72	-0.25	0.82	-0.51	-0.19	0.48	0.86	0.95	0.31	0.04
6	409.56	187.55	93.77	215.65	157.03	113.67	0.83	-0.54	0.14	0.18	0.49	0.85	0.53	0.68	-0.5
7	317.74	493.82	30.33	25.32	16.21	10.78	0.67	0.48	0.57	-0.33	0.88	-0.34	-0.66	0.04	0.75
8	619.22	329.61	91.57	151.64	90.11	80.85	0.42	-0.41	0.81	0.86	-0.11	-0.5	0.29	0.91	0.31
9	482.26	410.48	106.99	176.78	156.52	101.97	0.52	-0.33	0.79	-0.59	0.53	0.61	0.62	0.78	-0.09
10	491.91	189.2	62.9	71	58.16	60.6	0.4	0.06	0.91	0.74	-0.61	-0.29	0.54	0.79	-0.29
11	265.65	193.66	102.74	162.85	124.05	117.15	0.78	-0.56	0.29	0	0.45	0.89	0.63	0.69	-0.35
12	446.4	266.34	69.18	78.37	52.98	42.08	0.68	0.28	0.67	-0.59	-0.33	0.74	-0.43	0.9	0.06
13	277.24	286.47	88.22	114.94	82.7	57.48	0.82	0.05	0.57	0.4	0.66	-0.64	-0.4	0.75	0.52
14	433.02	65.28	75.4	72.25	48.45	35.19	-0.51	0.04	0.86	0.46	0.86	0.24	0.73	-0.51	0.46
15	489.59	104.59	95.36	116.61	92.01	68.15	0.57	0.4	0.72	0.82	-0.29	-0.49	0.01	0.87	-0.49
16	568.98	520.4	109.62	138.6	111.28	84.3	-0.47	0.42	0.78	0.72	-0.33	0.61	0.52	0.84	-0.15
17	603.6	407.09	99.11	141.09	127.47	81.64	0.87	-0.29	-0.4	0.11	-0.67	0.74	0.48	0.69	0.55
18	332.29	141.81	82.09	67.32	55.05	39.25	0.02	-0.46	0.89	0.94	0.32	0.14	-0.35	0.83	0.43
19	153.08	302.24	88.05	80.69	71.05	53.88	-0.59	0.76	0.28	-0.3	-0.52	0.8	0.75	0.39	0.53
20	306.8	386.75	86.92	101.91	96.08	70.09	0.3	0.95	-0.11	0.85	-0.21	0.49	-0.44	0.24	0.86
21	403.36	371.89	96.19	90.94	91.01	75.64	-0.02	0.56	0.83	0.96	0.25	-0.14	-0.28	0.79	-0.55
22	337.73	329.26	90.83	82.15	59.86	38.58	0.54	0.39	0.74	0.7	-0.7	-0.15	-0.46	-0.6	0.65
23	427.48	108.42	88.48	60.46	38.39	33.58	0.17	-0.13	0.98	0.94	0.31	-0.13	-0.29	0.94	0.18
24	316.38	586.1	128.79	182.8	126.53	110.32	0.76	0.44	-0.47	-0.54	0.84	-0.09	0.36	0.32	0.88
25	148.45	222.93	100.39	127.04	85.01	74.33	0.77	0.63	0.14	0.32	-0.56	0.77	-0.56	0.55	0.62
26	558.86	172.33	96.98	114.67	111.04	66.67	0.92	0.25	-0.3	-0.28	0.96	-0.07	0.27	0.14	0.95
27	457.35	56.81	66.45	6.42	6.2	4.57	-0.04	-0.13	0.99	0.38	0.92	0.13	0.92	-0.38	-0.01
28	367.01	431.7	103.43	88.98	63.47	45.18	0.73	-0.02	0.68	-0.49	0.68	0.55	0.48	0.73	-0.49
29	474.83	219.57	82.16	42.9	27.02	25.79	0.04	-0.21	0.98	0.56	0.81	0.15	0.83	-0.54	-0.15
30	474.18	255.27	104.42	75.42	71.7	41.85	0.8	0.53	0.28	-0.44	0.21	0.87	-0.41	0.82	-0.4
31	390.31	276.36	156.58	175.45	123.52	88.72	0.34	-0.44	0.83	0.87	-0.18	-0.46	0.35	0.88	0.32
32	467.03	317.26	137.66	158.36	99.65	82.91	0.6	-0.38	0.71	0.43	0.9	0.12	-0.68	0.23	0.7
33	339.18	500.06	116.92	117.97	91.02	68.29	0.58	0.72	-0.39	-0.49	0.69	0.53	0.65	-0.11	0.75
34	231.05	295.14	164.09	237.01	211.23	140.26	0.97	-0.05	0.24	0.15	0.89	-0.42	-0.19	0.45	0.87
35	344.71	351.71	82.71	5.87	5.24	4.97	0.21	0.21	0.96	-0.71	0.71	-3.33E-016	0.68	0.68	-0.3
36	638.1	248.97	102.37	42.44	37.26	28.5	0.41	0.26	0.87	-0.58	0.82	0.03	0.7	0.51	-0.49
37	432.25	282.41	100.7	43.48	37.28	28.78	0.4	0.41	0.82	0.87	0.1	-0.48	-0.28	0.91	-0.32
38	272.42	433.32	112.98	71.36	65.37	48.7	0.51	0.59	0.63	-0.49	-0.4	0.77	0.71	-0.7	0.08
39	185.22	407.67	118.48	143.81	105.6	51.34	0.58	0.73	0.36	0.2	-0.55	0.81	0.79	-0.4	-0.47
40	371.31	103.95	157.35	176.21	159.87	88.9	-0.5	0.48	0.72	0.72	-0.23	0.65	0.48	0.84	-0.24
41	259.46	101.21	131.54	103.36	92.34	68.66	-0.53	-0.11	0.84	0.37	0.86	0.35	0.76	-0.49	0.42
42	497.27	224.22	143.78	120.63	85.7	57.43	-0.11	0.01	0.99	-0.13	0.99	-0.02	0.99	0.13	0.11
43	577.23	226	121.66	112.66	101.07	48.48	0.72	0.52	-0.45	-0.66	0.71	-0.24	0.2	0.47	0.86
44	632.5	223	93.5	6.63	5.24	4.61	-0.37	0.85	0.37	0.71	-5.98E-016	0.71	0.6	0.52	-0.6
45	329.53	224.53	145.34	100.9	88.39	64.86	0.37	-0.49	0.79	-0.4	0.69	0.61	0.84	0.54	-0.06
46	617.83	253.18	136.95	103.03	61.14	45.3	-0.36	0.8	-0.47	-0.56	0.22	0.8	0.75	0.55	0.37
47	108.44	265.72	143.28	150.27	75.14	52.94	-0.19	0.83	-0.53	-0.63	0.31	0.71	0.76	0.47	0.46
48	601.95	456.11	182.81	165.48	140.42	107.05	0.2	-0.11	0.97	-0.62	0.75	0.21	0.76	0.65	-0.08
49	324.55	327.69	123.01	70.19	56.44	42.58	0.75	-0.52	0.4	-0.09	0.52	0.85	0.65	0.68	-0.35
50	99.66	363.97	130.1	118	79.93	46.97	0.39	0.86	-0.31	0.76	-0.5	-0.41	0.51	0.07	0.86
51	395	485.15	146.36	120.85	87.53	86.09	0.89	-0.18	-0.42	0.01	0.93	-0.36	0.45	0.31	0.83
52	405.98	581.21	195.49	212.23	168.15	129.36	0.75	-0.3	-0.59	0.39	-0.51	0.76	0.53	0.8	0.27
53	322.28	261.94	120.9	37.09	37.07	22.83	0.94	0.14	0.31	-0.34	0.42	0.84	0.02	0.89	-0.45
54	145.37	446.11	159.29	143.79	111.16	83.88	0.35	0.94	0	0.81	-0.3	-0.51	0.48	-0.18	0.86
55	367.26	365.22	149.66	90.13	77.42	44.57	0.8	0.26	0.54	0.15	0.78	-0.61	-0.58	0.57	0.58
