	Particle centroid in image (mm)			Lengths (mm)						Coordinates of principal directions l, m and n								
Particle #	X	Y 	Z	principal_x_plus	principal_x_minus	principal_y_plus	principal_y_minus	principal_z_plus	principal_z_minus	principal_l1	principal_l2	principal_l3	principal_m1	principal_m2	principal_m3	principal_n1	principal_n2	principal_n3
1	524.63	307.75	83.42	67.84	69.07	52.13	67.49	42.67	38.08	0.21	0.01	0.98	0.92	-0.35	-0.19	0.34	0.94	-0.08
2	235.96	529.39	75.61	117.64	127.02	58.3	115.2	48.9	64.49	0.91	0.4	-0.12	-0.41	0.91	-0.06	0.08	0.1	0.99
3	376.83	91.66	55.31	68.03	56.44	45.26	44.57	31.41	18.61	0.46	0.68	-0.58	0.87	-0.48	0.13	0.19	0.56	0.81
4	192.36	222.72	56.18	53.32	49.48	40.47	24.71	31.82	18.43	0.8	0.53	-0.27	0.17	0.24	0.96	-0.58	0.81	-0.1
5	362.69	342.76	62.71	25.37	49.05	37.22	34.2	29.47	17.35	-0.25	0.82	-0.51	-0.19	0.48	0.86	0.95	0.31	0.04
6	407.41	198.36	101.5	93.1	114.22	59.28	92.28	46.58	60.28	0.83	-0.54	0.14	0.18	0.49	0.85	0.53	0.68	-0.5
7	317.95	494.82	29.76	11.41	11.05	6.25	8.21	6.35	2.93	0.67	0.48	0.57	-0.33	0.88	-0.34	-0.66	0.04	0.75
8	621.37	321.93	84.67	81.78	59.36	53.01	32.39	31.43	42.19	0.42	-0.41	0.81	0.86	-0.11	-0.5	0.29	0.91	0.31
9	476.25	412.39	107.71	91.92	77.57	70	75.61	54.51	41.6	0.52	-0.33	0.79	-0.59	0.53	0.61	0.62	0.78	-0.09
10	499.88	180.87	60.85	32.31	24.16	22.74	30.93	10.12	31.5	0.4	0.06	0.91	0.74	-0.61	-0.29	0.54	0.79	-0.29
11	259.89	202.49	96.18	93.57	62.64	56.14	63.49	44	66.72	0.78	-0.56	0.29	0	0.45	0.89	0.63	0.69	-0.35
12	447.02	277.33	67.02	43.36	28.62	28.92	15.36	7.8	30.65	0.68	0.28	0.67	-0.59	-0.33	0.74	-0.43	0.9	0.06
13	276.42	278.54	84.46	60.69	50.75	50.6	24.57	22.42	28.71	0.82	0.05	0.57	0.4	0.66	-0.64	-0.4	0.75	0.52
14	426.91	70.8	84.95	15.34	52.37	23.95	21.79	15.81	16.91	-0.51	0.04	0.86	0.46	0.86	0.24	0.73	-0.51	0.46
15	500.13	107.44	98.94	45.02	65.93	34.95	53.96	26.19	38.55	0.57	0.4	0.72	0.82	-0.29	-0.49	0.01	0.87	-0.49
16	571.64	534.57	113.83	49.24	85.09	56.49	49	25.18	56.01	-0.47	0.42	0.78	0.72	-0.33	0.61	0.52	0.84	-0.15
17	599.16	407.58	93.47	78.88	55.74	63.46	55.6	38.31	37.68	0.87	-0.29	-0.4	0.11	-0.67	0.74	0.48	0.69	0.55
18	331.34	149.11	78.74	22.12	43.37	24.99	26.28	21.09	16.03	0.02	-0.46	0.89	0.94	0.32	0.14	-0.35	0.83	0.43
19	154.2	303.15	77.08	52.78	24.88	37.6	26.51	32.77	17.07	-0.59	0.76	0.28	-0.3	-0.52	0.8	0.75	0.39	0.53
20	301.6	386.26	85.81	48.2	44.95	53.47	37.1	33.8	29.97	0.3	0.95	-0.11	0.85	-0.21	0.49	-0.44	0.24	0.86
